Name,EGFP/Emerald,EGFP/Emerald,ECFP/Cerulean,ECFP/Cerulean,mCitrine/Ypet,mCitrine/Ypet,mCherry,mCherry,tdTomato,tdTomato,DAPI,DAPI,mPlum,mPlum,mTFP1,mTFP1,NirFP,NirFP,mTagBFP,mTagBFP,mOrange2,mOrange2,mApple,mApple,mRuby,mRuby,DAPI,DAPI,MitoTracker Red CMXRos,MitoTracker Red CMXRos
Spectrum Type,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ex,Em,Ab,Em,Ab,Em
Quantum Yield,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extinction Coefficient,,"56,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,0.048697908,,0.112314599,,0.029511955,,0.054953568,,0.079577494,,0.4036545,,,,0.044129756,,,,0.021289968,,0.101418351,,0.0923,,0.024,,0.4036545,,0.1635396,0
311,0.047399324,,0.1075063,,0.028630676,,0.054473911,,0.081993738,,0.4136213,,,,0.042530783,,,,0.020018681,,0.104889518,,0.0925,,0.0234,,0.4136213,,0.1674601,0
312,0.045873938,,0.101496207,,0.027218066,,0.054199872,,0.084032419,,0.4227575,,,,0.040472224,,,,0.019748596,,0.108622422,,0.094,,0.0228,,0.4227575,,0.1712405,0
313,0.044578157,,0.097154845,,0.026904009,,0.054561575,,0.087812974,,0.4335548,,,,0.039332835,,,,0.019706809,,0.11166984,,0.096,,0.0222,,0.4335548,,0.175161,0
314,0.04391426,,0.093724711,,0.027014539,,0.054457875,,0.091516049,,0.4526578,,,,0.037733862,,,,0.018765346,,0.114930954,,0.098,,0.0216,,0.4526578,,0.1767012,0
315,0.044649251,,0.091232931,,0.025702238,,0.056142021,,0.095918308,,0.4700997,,,,0.037274277,,,,0.017937484,,0.117499404,,0.102,,0.021,,0.4700997,,0.1760011,0
316,0.044204068,,0.087426993,,0.026484103,,0.058404537,,0.099788864,,0.4883721,,,,0.036824266,,,,0.017440557,,0.121655616,,0.1058,,0.0208,,0.4883721,,0.1713806,0
317,0.042004382,,0.084173919,,0.025413636,,0.060419383,,0.104474822,,0.5116279,,,,0.036594473,,,,0.018235252,,0.124943898,,0.1096,,0.0206,,0.5116279,,0.1653598,0
318,0.041226039,,0.082320053,,0.025123443,,0.062887517,,0.109284255,,0.5299003,,,,0.036364681,,,,0.017617615,,0.128399382,,0.1134,,0.0204,,0.5299003,,0.1570988,0
319,0.039900683,,0.079951481,,0.024978536,,0.066220531,,0.113936975,,0.5506644,,,,0.035675303,,,,0.017145955,,0.132598555,,0.1172,,0.0202,,0.5506644,,0.1426771,0
320,0.039053254,,0.078721851,,0.024400419,,0.070943696,,0.117720104,,0.5805648,,,,0.034306122,,,,0.016876857,,0.137561514,,0.121,,0.02,,0.5805648,,0.1304957,0
321,0.037819566,,0.07658837,,0.02464263,,0.075417767,,0.1214666,,0.5996678,,,,0.032477356,,,,0.017715336,,0.142748441,,0.13,,0.0202,,0.5996678,,0.1177541,0
322,0.035277436,,0.073626296,,0.023840546,,0.081189693,,0.125062703,,0.6179402,,,,0.030198579,,,,0.018327254,,0.148942007,,0.135,,0.0204,,0.6179402,,0.100112,0
323,0.034614148,,0.073278729,,0.023643726,,0.086474478,,0.128729496,,0.6461794,,,,0.027460217,,,,0.018001524,,0.155153243,,0.14,,0.0206,,0.6461794,,0.08807056,0
324,0.034751467,,0.072136642,,0.023376932,,0.091643091,,0.132579805,,0.6644518,,,,0.025401658,,,,0.017596083,,0.161437921,,0.1442,,0.0208,,0.6644518,,0.07742929,0
325,0.034631953,,0.070828322,,0.023123611,,0.098154459,,0.136230096,,0.6827242,,,,0.024032477,,,,0.01795896,,0.166239089,,0.15,,0.021,,0.6827242,,0.06524783,0
326,0.031724821,,0.068530576,,0.022831166,,0.103850481,,0.140998332,,0.7076411,,,,0.022663296,,,,0.018460268,,0.1734785,,0.157,,0.0212,,0.7076411,,0.05796696,0
327,0.032413893,,0.06751968,,0.023202621,,0.108420769,,0.14600275,,0.7217608,,,,0.021973919,,,,0.01959329,,0.175344455,,0.164,,0.0214,,0.7217608,,0.05152618,0
328,0.032141083,,0.067424719,,0.023940246,,0.115039044,,0.152820084,,0.7392027,,,,0.021753701,,,,0.020809563,,0.177482197,,0.171,,0.0216,,0.7392027,,0.04424531,0
329,0.029563787,,0.064894269,,0.022213989,,0.11931213,,0.16039313,,0.7641196,,,,0.02083453,,,,0.022275486,,0.175488024,,0.178,,0.0218,,0.7641196,,0.03948474,0
330,0.03079229,,0.063914096,,0.022430205,,0.124136144,,0.166864031,,0.7790697,,,,0.020374945,,,,0.023421589,,0.170230528,,0.185,,0.022,,0.7790697,,0.0358443,0
331,0.030460746,,0.063661624,,0.022115406,,0.128561751,,0.174418937,,0.7948505,,,,0.020604738,,,,0.025608316,,0.162088951,,0.195,,0.0224,,0.7948505,,0.03178381,0
332,0.02989004,,0.061028873,,0.022371596,,0.133601005,,0.181587851,,0.8156146,,,,0.020154727,,,,0.027278643,,0.154594981,,0.205,,0.0228,,0.8156146,,0.02898348,0
333,0.031682807,,0.061496086,,0.022834627,,0.138462794,,0.186555871,,0.8305648,,,,0.019465349,,,,0.028443693,,0.143529014,,0.215,,0.0232,,0.8305648,,0.02674321,0
334,0.031248087,,0.061783824,,0.023875341,,0.143769317,,0.191024958,,0.8405315,,,,0.019235557,,,,0.03023413,,0.132613353,,0.225,,0.0236,,0.8405315,,0.02366284,0
335,0.030291687,,0.059807213,,0.021947,,0.151248553,,0.192468619,,0.8563123,,,,0.018775971,,,,0.033083957,,0.121517237,,0.235,,0.024,,0.8563123,,0.02212265,0
336,0.032212148,,0.060264582,,0.024255303,,0.159338229,,0.191591304,,0.8687708,,,,0.018775971,,,,0.036173831,,0.111332784,,0.25,,0.0242,,0.8687708,,0.02128255,0
337,0.032374108,,0.060860259,,0.024362125,,0.169392863,,0.187647014,,0.8795681,,,,0.018775971,,,,0.038811609,,0.102690704,,0.257,,0.0244,,0.8795681,,0.0200224,0
338,0.032585431,,0.059192504,,0.023885988,,0.178372721,,0.181284724,,0.8936877,,,,0.018555753,,,,0.042214959,,0.094467072,,0.263,,0.0246,,0.8936877,,0.0191823,0
339,0.033437466,,0.059606107,,0.023216557,,0.191198035,,0.17319636,,0.8995016,,,,0.018555753,,,,0.045316437,,0.086835938,,0.267,,0.0248,,0.8995016,,0.01932232,0
340,0.034823649,,0.060377557,,0.024921827,,0.200117669,,0.163928841,,0.9061462,,,,0.018555753,,,,0.049454958,,0.080741987,,0.266,,0.025,,0.9061462,,0.01960235,0
341,0.034588471,,0.059562759,,0.024453247,,0.212501813,,0.154341809,,0.9169435,,,,0.018555753,,,,0.054693087,,0.075322257,,0.262,,0.0252,,0.9169435,,0.01974237,0
342,0.035732945,,0.059701996,,0.024745514,,0.220288586,,0.143830295,,0.9227575,,,,0.019235557,,,,0.059147293,,0.069847419,,0.257,,0.0254,,0.9227575,,0.01974237,0
343,0.036379527,,0.059992015,,0.024276854,,0.226500613,,0.134815812,,0.9269102,,,,0.019465349,,,,0.064477144,,0.066436551,,0.247,,0.0256,,0.9269102,,0.02030244,0
