Name,mCitrine/Ypet,mCitrine/Ypet,mPlum,mPlum,mTFP1,mTFP1,mTagBFP,mTagBFP,tdTomato,tdTomato
Spectrum Type,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em
Quantum Yield,,,,,,,,,,
Extinction Coefficient,,,,,,,,,,
442,0.035260031,,,,0.836732349,,0.07645542,0.551358392,0.072198613,
443,0.036934454,,,,0.84540702,,0.06749774,0.599492192,0.075237265,
444,0.038892125,,,,0.85271251,,0.060068872,0.639766013,0.078359364,
445,0.04046385,,,,0.858648819,,0.051758279,0.691519827,0.081694239,
446,0.043418667,,,,0.864355336,0.00608,0.044457933,0.739708167,0.085517395,
447,0.045593884,,,,0.869611842,0.00533,0.038130398,0.778011806,0.088999971,
448,0.048145297,,,,0.875088566,0.00482,0.032759883,0.826159768,0.092324897,
449,0.051222741,,,,0.879885487,0.00477,0.028610848,0.858362725,0.096121251,
450,0.054194535,,0.011890239,,0.886051588,0.00471,0.024863739,0.896315106,0.09836229,
451,0.057302225,,0.012663121,,0.891758105,0.00495,,0.925885443,0.102288791,
452,0.060520384,,0.013158632,,0.897924207,0.00564,,0.950182016,0.105974778,
453,0.063605086,,0.013834151,,0.905689282,0.00615,,0.969898559,0.109392632,
454,0.066217693,,0.014674527,,0.912994772,0.00745,,0.983614459,0.11368628,
455,0.069803775,,0.015845992,,0.921219433,0.00886,,0.996763872,0.11713117,
456,0.07305013,,0.016506867,,0.929214301,0.01028,,0.999802246,0.120981128,
457,0.075763613,,0.017647087,,0.938118764,0.01296,,1,0.124808848,
458,0.079854382,,0.018868937,,0.945654047,0.01584,,0.99156983,0.128102759,
459,0.083685799,,0.019881636,,0.952499952,0.01957,,0.984998309,0.132272815,
460,0.088056575,,0.021012358,,0.958666054,0.02308,,0.973528732,0.136668403,
461,0.092925928,,0.022224276,,0.963003389,0.02882,,0.959518051,0.140689704,
462,0.097704596,,0.023134683,,0.964832156,0.03485,,0.944449466,0.145070896,
463,0.102971695,,0.024628829,,0.96392256,0.04346,,0.927547974,0.148675659,
464,0.108411423,,0.025356545,,0.959355432,0.05307,,0.911849451,0.153073353,
465,0.114514948,,0.027568983,,0.951360564,0.0644,,0.89361938,0.158720894,
466,0.120806344,,0.028666937,,0.937659179,0.0779,,0.8771109,0.164412792,
467,0.127713704,,0.02970008,,0.92098964,0.09448,,0.862364301,0.168533458,
468,0.136343922,,0.030890032,,0.89952318,0.11497,,0.845220717,0.172368786,
469,0.145290003,,0.03205867,,0.869841635,0.13864,,0.828744349,0.177789625,
470,0.15521409,,0.034133147,,0.838781333,0.16574,,0.813765645,0.184310969,
471,0.166065227,,0.03554124,,0.799965531,0.19694,,0.803420951,0.191031629,
472,0.178000212,,0.037265126,,0.759320963,0.23007,,0.791477005,0.197384089,
473,0.191004744,,0.038612177,,0.711820915,0.27059,,0.774643009,0.201573105,
474,0.205529417,,0.039791617,,0.666379426,0.31545,,0.764321302,0.206221143,
475,0.219750116,,0.041920612,,0.612713276,0.36209,,0.748522912,0.213861603,
476,0.23527064,,0.043152104,,0.564303633,0.40946,,0.736301576,0.220047634,
477,0.250659108,,0.045560426,,0.511097068,0.46407,,0.723546639,0.225328613,
478,0.265309247,,0.047310338,,0.462237414,0.51772,,0.710655246,0.230901718,
479,0.281030835,,0.049617311,,0.410859616,0.57388,,0.697454824,0.236103461,
480,0.29422513,,0.051346199,,0.366787308,0.62794,,0.681822205,0.240667583,
481,0.306651202,,0.053943446,,0.324084181,0.68841,,0.666555564,0.244593382,
482,0.318087152,,0.055966887,,0.281151261,0.73396,,0.655315165,0.248002692,
483,0.327042394,,0.058441398,,0.245763199,0.77641,,0.638331713,0.252367967,
484,0.335229888,0.001740173,0.060703568,,0.209676184,0.82474,,0.626859381,0.256561313,
485,0.3411463,0.001765665,0.064050353,,0.180454223,0.86265,,0.611174073,0.260128859,
486,0.346583764,0.001887733,0.065805412,,0.153051454,0.90033,,0.595914665,0.263727068,
487,0.351153718,0.002086439,0.069416953,,0.130215814,0.92776,,0.577462648,0.267681423,
488,0.354024188,0.002261459,0.072174997,,0.108979146,0.95055,,0.560277266,0.271546947,
489,0.358384699,0.002527149,0.075578547,,0.092769192,0.97565,,0.545163267,0.275057846,
490,0.361724106,0.002715901,0.078368706,,0.077009249,0.98624,,0.527543162,0.280474237,
491,0.366657733,0.003070493,0.083074214,,0.065366423,0.99465,,0.509708513,0.285450332,
492,0.372927988,0.003463713,0.08569727,,0.054633194,1,,0.492977958,0.288587881,
493,0.379038669,0.003880999,0.088990988,,0.04617874,0.9953,,0.475298491,0.293280042,
494,0.38813942,0.004668147,0.093741878,,0.03887325,0.99217,,0.458474568,0.30067601,
495,0.398241618,0.00549951,0.097566123,,0.033396526,0.98433,,0.442728909,0.306710595,
496,0.408773981,0.006452924,0.101412986,,0.028369813,0.97268,,0.428454398,0.314885098,
497,0.422211917,0.007811222,0.10543558,,0.024721855,0.95575,,0.413064086,0.324848056,
498,0.43768726,0.009231251,0.109992036,,0.021523908,0.93499,,0.398844373,0.333201861,
499,0.455597925,0.011431732,0.114672968,,0.019005764,0.9158,,0.384625865,0.342235304,
500,0.476211243,0.013618692,0.119586902,,0.01695678,0.89383,,0.371251923,0.354997806,
501,0.499855238,0.016594762,0.124172212,,0.015357806,0.86964,,0.355890172,0.36620031,
